# Bankcode → BIC für IBAN-Länder, deren Bankcode NICHT im BIC steckt (anders als NL).
# Format: Land;Bankcode;BIC;Bankname   — Bankcode ohne führende Nullen.
#
# Diese Datei enthält nur Quellen, deren Bedingungen die Weitergabe erlauben:
#
#   AT  Oesterreichische Nationalbank — SEPA-Zahlungsverkehrsverzeichnis
#       https://www.oenb.at/docroot/downloads_observ/sepa-zv-vz_gesamt.csv
#       © OeNB, Lizenz CC BY 4.0 (IWG 2022) — Weitergabe und Bearbeitung erlaubt,
#       auch kommerziell, unter Namensnennung.
#
#   BE  Nationale Bank van België / Banque nationale de Belgique
#       https://www.nbb.be/doc/be/be/protocol/full_list_current.xlsx
#       © NBB — "This information may be distributed, provided it is accurately
#       presented and the NBB is cited as the source."
#
# CH und LU liegen NICHT bei: SIX Interbank Clearing untersagt die Weitergabe
# ("may not be reproduced or reused in any way"), die ABBL erlaubt nur die
# unveränderte Nutzung. Beide holt bin/update-bankcodes.php lokal nach —
# das Ergebnis landet in iban-bankcode-bic.local.csv (nicht im Repository).
AT;32906;RLNWATWWWHY;Raiffeisenbank Ybbstal eGen
AT;32930;RLNWATWWBAD;Raiffeisenbank Region Baden eGen
AT;32936;RLNWATWWOWS;Raiffeisenbank Oberes Waldviertel eGen
AT;32937;RLNWATWWWRN;Raiffeisenbank Wr. Neustadt-Schneebergland eGen
AT;32939;RLNWATWW939;Raiffeisenbank Mittleres Mostviertel eGen
AT;32940;RLNWATWWWRN;Raiffeisenbank Wr. Neustadt-Schneebergland eGen
AT;32944;RLNWATWWLFD;Raiffeisenbank Traisen-Gölsental eGen
AT;32951;RLNWATWWWDF;Raiffeisenbank Wolkersdorf - Auersthal eGen
AT;32982;RLNWATW1322;Raiffeisenbank Hollabrunn eGen
AT;32985;RLNWATWWZDF;Raiffeisenbank Weinviertel Nordost eGen
AT;32990;RLNWATWWZWE;Raiffeisenbank Region Waldviertel Mitte eGen
AT;33000;RLBBAT2EXXX;Raiffeisenlandesbank Burgenland und Revisionsverband eGen
AT;33002;RLBBAT2E038;Raiffeisen Bezirksbank Neusiedl Ost eGen
AT;33004;RLBBAT2E038;Raiffeisen Bezirksbank Neusiedl Ost eGen
AT;33010;RLBBAT2E010;Raiffeisenbank Region Deutschkreutz-Horitschon eGen
AT;33012;RLBBAT2E012;Raiffeisenbank Neusiedlersee-Hügelland eGen
AT;33014;RLBBAT2E014;Raiffeisenbank Draßmarkt-Kobersdorf-St. Martin eGen
AT;33027;RLBBAT2E027;Raiffeisen Regionalbank Güssing-Jennersdorf eGen
AT;33028;RLBBAT2E038;Raiffeisen Bezirksbank Neusiedl Ost eGen
AT;33031;RLBBAT2E010;Raiffeisenbank Region Deutschkreutz-Horitschon eGen
AT;33033;RLBBAT2E038;Raiffeisen Bezirksbank Neusiedl Ost eGen
AT;33034;RLBBAT2E027;Raiffeisen Regionalbank Güssing-Jennersdorf eGen
AT;33035;RLBBAT2EXXX;Raiffeisenlandesbank Burgenland und Revisionsverband eGen
AT;33038;RLBBAT2E038;Raiffeisen Bezirksbank Neusiedl Ost eGen
AT;33041;RLBBAT2E027;Raiffeisen Regionalbank Güssing-Jennersdorf eGen
AT;33046;RLBBAT2E065;Raiffeisenbank Burgenland Mitte eGen
AT;33048;RLBBAT2E010;Raiffeisenbank Region Deutschkreutz-Horitschon eGen
